Time,ExtractedText,ImageFile
0,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_00_sec.png
0,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_00_sec.png
0.1,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_00_sec.png
0.9,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_01_sec.png
1,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_01_sec.png
1.1,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_01_sec.png
1.9,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_02_sec.png
2,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_02_sec.png
2.1,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_02_sec.png
2.9,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_03_sec.png
3,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_03_sec.png
3.1,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_03_sec.png
3.9,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_04_sec.png
4,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_04_sec.png
4.1,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_04_sec.png
4.9,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_05_sec.png
5,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_05_sec.png
5.1,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_05_sec.png
5.9,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_06_sec.png
6,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_06_sec.png
6.1,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_06_sec.png
6.9,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_07_sec.png
7,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_07_sec.png
7.1,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_07_sec.png
7.9,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_08_sec.png
8,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_08_sec.png
8.1,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_08_sec.png
8.9,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_09_sec.png
9,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_09_sec.png
9.1,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_09_sec.png
9.9,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_10_sec.png
10,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_10_sec.png
10.1,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\cropped_frame_10_sec.png
