Time,ExtractedText,ImageFile
0.0333334,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_00s_033ms.png
0.0333334,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_00s_033ms.png
0.1333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_00s_133ms.png
0.9333334,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_00s_933ms.png
1.0333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_01s_033ms.png
1.1333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_01s_133ms.png
1.9333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_01s_933ms.png
2.0333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_02s_033ms.png
2.1333334,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_02s_133ms.png
2.9333334,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_02s_933ms.png
3.0333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_03s_033ms.png
3.1333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_03s_133ms.png
3.9333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_03s_933ms.png
4.0333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_04s_033ms.png
4.1333334,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_04s_133ms.png
4.9333334,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_04s_933ms.png
5.0333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_05s_033ms.png
5.1333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_05s_133ms.png
5.9333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_05s_933ms.png
6.0333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_06s_033ms.png
6.1333334,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_06s_133ms.png
6.9333334,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_06s_933ms.png
7.0333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_07s_033ms.png
7.1333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_07s_133ms.png
7.9333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_07s_933ms.png
8.0333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_08s_033ms.png
8.1333334,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_08s_133ms.png
8.9333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_08s_933ms.png
9.0333334,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_09s_033ms.png
9.1333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_09s_133ms.png
9.9333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_09s_933ms.png
10.0333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_10s_033ms.png
10.1333333,,C:\Users\jsks12312\Desktop\PV_measurement\image_processing\example_30_converted\2025_03_22_example_30_converted_cropped_00h_00m_10s_133ms.png
